geoid,lat,long
12087972200,24.56258058,-81.77532632
12087971250,24.70454699,-81.09019305
12087971051,24.73335153,-81.02384853
12086011407,25.43964097,-80.48792883
12086011206,25.48466536,-80.4984334
12086011102,25.48032984,-80.45439566
12086149435,25.49544712,-80.39637596
12086010268,25.5529483,-80.45719002
12086010464,25.56374513,-80.38225986
12086118391,25.5707636,-80.33449249
12086082153,25.63675827,-80.4419917
12086014147,25.63289785,-80.38601557
12086008205,25.63285562,-80.3218825
12086051519,25.70093516,-80.44630121
12086012718,25.70307592,-80.38757251
12086045191,25.70443314,-80.31038529
12086007325,25.72243467,-80.25664293
12086004606,25.69032333,-80.16101292
12086152958,25.75624346,-80.44611047
12086010985,25.76383902,-80.3791358
12086034392,25.76394131,-80.31392511
12086012227,25.7720656,-80.2349464
12086041467,25.7776795,-80.17556878
12086004104,25.80634651,-80.12522418
48061013706,25.87957488,-97.41684128
12086009377,25.83695833,-80.37052789
12086005393,25.85561106,-80.30656757
12086001148,25.84665622,-80.2400596
12086002205,25.85149209,-80.17383059
12086003902,25.8528169,-80.1223041
48061012609,25.93347812,-97.5370684
48061013498,25.91866668,-97.48264151
48061101232,25.91431042,-97.42902298
12021010954,25.93543183,-81.72840548
12021010905,25.92454297,-81.69461343
12086012552,25.90650875,-80.36721084
12086011070,25.92123092,-80.31540009
12086034671,25.92370367,-80.23823691
12086001652,25.92478254,-80.16940239
12086000584,25.92723613,-80.12451313
48061012513,25.97207273,-97.54736513
48061013329,25.97636362,-97.49260226
12021010959,25.9973593,-81.69054691
12011110348,26.00027945,-80.378111
12017623357,25.9945401,-80.30633957
12026085483,25.9931717,-80.23889974
12029822895,25.99187909,-80.16383225
12036063611,25.98594113,-80.12330725
48215021308,26.09093824,-98.20556426
48061012376,26.05717483,-97.63858111
48061012455,26.0508943,-97.55017797
48061012403,26.06256785,-97.48551787
12021010771,26.07991062,-81.74923719
12021010987,26.06015662,-81.69622013
12021011111,26.08062562,-81.63319366
12011070320,26.07235044,-80.38928957
12011070328,26.06854192,-80.30465448
12011073177,26.0653081,-80.24153514
12011072157,26.06501168,-80.16630259
48215020723,26.14939618,-98.27099122
48215021331,26.1407765,-98.2024728
48215021835,26.15012448,-98.13912664
48215022125,26.15293068,-98.06147797
48215022547,26.14997613,-97.98648264
48215023002,26.1490546,-97.90677872
48061011906,26.15635586,-97.82909071
48061011955,26.13376374,-97.78054748
48061011953,26.1476678,-97.6837044
48061011585,26.13931659,-97.63500751
48061011801,26.13639245,-97.56856934
12021000269,26.16290669,-81.80573875
12021007755,26.13667157,-81.76138358
12021010516,26.14423725,-81.71022883
12011070321,26.12130303,-80.38433029
12011061495,26.14244787,-80.29755344
12011059525,26.14630369,-80.23562422
12011044193,26.13806556,-80.1638909
12011042740,26.14117684,-80.11644605
48215024207,26.22860229,-98.42063348
48215020183,26.22221085,-98.35042114
48215020525,26.21478883,-98.27410747
48215062814,26.20927861,-98.21257509
48215021846,26.20733605,-98.14377878
48215022282,26.20629126,-98.06561471
48215022364,26.20430232,-98.00166664
48215023104,26.1959919,-97.9208567
48061010779,26.20259702,-97.75891062
