,index,geoid,lat,long
0,9396,12087972400.0,24.55215476212225,-81.7996216424983
1,0,12087972200.0,24.562346413163983,-81.77565805635103
2,9398,12087971800.0,24.58964,-81.73928999999998
3,9399,12087971700.0,24.598460000000006,-81.70208999999994
4,9400,12087971600.0,24.649620000000013,-81.57299999999985
5,9403,12087971401.0,24.66545,-81.35967999999998
6,9401,12087971501.0,24.70105999999999,-81.50817000000005
7,1,12087971250.0,24.704253470360936,-81.08995483116246
8,9404,12087971402.0,24.71906,-81.37512999999998
9,9402,12087971502.0,24.719695690525615,-81.44706405146108
10,2,12087971051.0,24.73305000000001,-81.02480000000001
11,9405,12087971002.0,24.79623302378461,-80.87013627485939
12,9406,12087970900.0,24.90322,-80.65272999999996
13,9407,12087970800.0,24.978010000000012,-80.55605000000001
14,9408,12087970700.0,25.0194,-80.51265
15,9409,12087970600.0,25.059638533594825,-80.47397469896995
16,9410,12087970500.0,25.08924460917521,-80.44174392948176
17,9411,12087970400.0,25.12202,-80.41300101999997
18,9413,12087972700.0,25.222579999999997,-80.33392000000003
19,9412,12086011408.0,25.331120000000016,-80.65165999999998
20,9416,12086980100.0,25.332649999999997,-80.25752
21,9414,12086011412.0,25.362753634894705,-80.41238377755397
22,9415,12086981200.0,25.402860030516152,-80.36092824992357
23,3,12086011407.0,25.439640970000028,-80.48772999999997
24,5,12086011102.0,25.48033799322794,-80.4540573010416
25,4,12086011206.0,25.484339122989375,-80.49842735857382
26,6,12086149435.0,25.49525000000001,-80.39637595999993
27,7,12086010268.0,25.55296706397511,-80.45572017528477
28,8,12086010464.0,25.563987327647062,-80.38219931058822
29,9,12086118391.0,25.570868825373335,-80.33449522312652
30,9418,12086010302.0,25.586934171933954,-80.49374647288165
31,11,12086014147.0,25.633098760297376,-80.385351020555
32,12,12086008205.0,25.63310065272541,-80.32189085338833
33,10,12086082153.0,25.63657494564209,-80.44198722867415
34,9419,12086011500.0,25.65176,-80.67277999999997
35,17,12086004606.0,25.69032567086078,-80.16110421356768
36,13,12086051519.0,25.70092323770288,-80.44660125447821
37,14,12086012718.0,25.703034704261142,-80.38841634802301
38,15,12086045191.0,25.704412122854983,-80.31077644242208
39,16,12086007325.0,25.72247938484349,-80.25664393860542
40,18,12086152958.0,25.755738443737474,-80.446087398191
41,19,12086010985.0,25.763612763907613,-80.37913240615859
42,20,12086034392.0,25.763943805253735,-80.3138411031263
43,21,12086012227.0,25.772063900990176,-80.234963390099
44,22,12086041467.0,25.777817686391742,-80.17525786061857
45,23,12086004104.0,25.80611818734338,-80.12529974001583
46,25,12086009377.0,25.836966804376303,-80.37032732976233
47,27,12086001148.0,25.846739132759144,-80.24006239481203
48,28,12086002205.0,25.851488686699557,-80.17391141838738
49,29,12086003902.0,25.852815854988048,-80.12224766935202
50,26,12086005393.0,25.85561195038068,-80.30653373553635
51,9420,12086981100.0,25.86361234166989,-80.43457189977153
52,24,48061013706.0,25.879723867099493,-97.41692080072175
53,35,12086012552.0,25.90597,-80.36478000000005
54,32,48061101232.0,25.916830000000015,-97.42902297999997
55,31,48061013498.0,25.919259172760967,-97.48385263490829
56,9426,12021011107.0,25.92044999999999,-81.1250300000001
57,36,12086011070.0,25.921532885882353,-80.31533298647057
58,37,12086034671.0,25.923700106001807,-80.23833224695335
59,34,12021010905.0,25.924340000000004,-81.69858000000002
60,38,12086001652.0,25.924787367967284,-80.16933721244199
61,39,12086000584.0,25.92692,-80.12451312999997
62,30,48061012609.0,25.933319315401764,-97.53709915117939
63,33,12021010954.0,25.93549942149324,-81.72842961981894
64,9423,12021010905.0,25.96244972985368,-81.73275637068299
65,9421,48061014403.0,25.96422,-97.43611000000003
66,9422,48061012700.0,25.965380000000007,-97.26073000000004
67,40,48061012513.0,25.97475000000001,-97.54096999999999
68,41,48061013329.0,25.97636148997228,-97.49260216688398
69,47,12036063611.0,25.98564,-80.12326
70,46,12029822895.0,25.99207,-80.16443999999994
71,45,12026085483.0,25.993176940730574,-80.23854861105566
72,44,12017623357.0,25.994532075775524,-80.30614297649907
73,42,12021010959.0,25.999406767415948,-81.6903182035333
74,43,12011110348.0,26.000737517665637,-80.3781158217649
75,9425,12021011113.0,26.00786228613988,-81.47624610313507
76,9424,12021011111.0,26.01984000000001,-81.65793000000008
77,9427,12011110301.0,26.021526559076985,-80.42553258661539
78,50,48061012455.0,26.049940000000003,-97.55219
79,9431,48061012105.0,26.05462000000002,-97.71425
80,49,48061012376.0,26.058710564329314,-97.64093250405594
81,9432,48061014202.0,26.05992757506097,-97.38790421272202
82,53,12021010987.0,26.0601608798826,-81.69599435622419
83,9434,48061012304.0,26.061359999999993,-97.21589999999996
84,51,48061012403.0,26.062690000000007,-97.48693
85,9435,12011090102.0,26.06373322457788,-80.12035129418382
86,58,12011072157.0,26.064930015114975,-80.1662964651336
87,57,12011073177.0,26.065537576659185,-80.24154041532542
88,56,12011070328.0,26.068150000000003,-80.30682999999996
89,55,12011070320.0,26.07221,-80.38886999999998
90,9433,48061014201.0,26.07897056286817,-97.24520443672563
91,52,12021010771.0,26.08,-81.74912
92,54,12021011111.0,26.08555,-81.6248
93,9428,48215022802.0,26.085757009615048,-98.05825250909288
94,48,48215021308.0,26.09043462378381,-98.20254256270265
95,9430,48061011903.0,26.090545098619227,-97.8231207874832
96,9429,48215022801.0,26.095927559175465,-97.90901004243416
97,9441,12011070331.0,26.105419999999995,-80.42474000000003
98,73,12011070321.0,26.12127747745085,-80.3843212401388
99,66,48061011955.0,26.13562861800004,-97.77992585399994
100,71,12021007755.0,26.137145892710144,-81.76137219625494
101,9437,48061012203.0,26.137430000000005,-97.50206999999997
102,76,12011044193.0,26.1378827713351,-80.16388757656969
103,68,48061011585.0,26.13903241873521,-97.63520894785864
104,69,48061011801.0,26.139505884730653,-97.56814889325857
105,60,48215021331.0,26.140951478820664,-98.20244828067476
106,77,12011042740.0,26.141464291999434,-80.11644947204758
107,74,12011061495.0,26.14244663764514,-80.29737351618054
108,72,12021010516.0,26.144066297508967,-81.70968178202848
109,75,12011059525.0,26.146294814431375,-80.23562410321618
110,9440,12011980000.0,26.146514277552296,-80.61556620513177
111,64,48215023002.0,26.14897999999999,-97.90692999999997
112,59,48215020723.0,26.14938878810816,-98.27094686864862
113,67,48061011953.0,26.149629999999995,-97.68458
114,61,48215021835.0,26.149799999999995,-98.14124
115,63,48215022547.0,26.149981684302706,-97.98608458164128
116,62,48215022125.0,26.151050000000005,-98.05933999999996
117,9439,48061012301.0,26.1527986640572,-97.34452015656758
118,9438,48061012202.0,26.154319999999995,-97.43165999999998
119,65,48061011906.0,26.15619166289173,-97.82908863155552
120,70,12021000269.0,26.162711872154134,-81.8057093938862
121,9436,48215020108.0,26.167600000000004,-98.34161
122,91,12021010418.0,26.1931021986775,-81.70259522243865
123,85,48215023104.0,26.193780000000007,-97.91834999999993
124,87,48061010822.0,26.19898838591792,-97.69890902944272
125,86,48061010779.0,26.20284656573014,-97.758907784253
126,9444,48061010103.0,26.204019999999996,-97.52931999999997
127,84,48215022364.0,26.204337532211365,-97.99954510426909
128,83,48215022282.0,26.20628648318513,-98.06621181186541
129,96,12011036562.0,26.206517107949665,-80.10651677919849
130,82,48215021846.0,26.20740660026908,-98.1438599128094
131,81,48215062814.0,26.208715084799994,-98.21265559359996
132,93,12011035290.0,26.210167764219072,-80.2875695421544
133,92,12021010426.0,26.21098409700998,-81.61608774477821
134,95,12011039935.0,26.211249895842663,-80.16180025106878
135,88,48061253078.0,26.21259999999999,-97.65359999999997
136,94,12011035584.0,26.213030000000003,-80.23335999999996
137,90,12021010320.0,26.213260727797223,-81.770862098879
138,89,12021005281.0,26.21448000000001,-81.81030581999994
139,9443,48061010303.0,26.21459190492309,-97.82481661548957
140,80,48215020525.0,26.21540999999998,-98.27328000000003
141,79,48215020183.0,26.22244,-98.35077999999987
